EmployeeID,EmployeeLastName,EmployeeFirstName,EmployeeGenre,EmployeeDateOfBirth,EmployeeHiringDate,EmployeeDepartment,EmployeeJobPosition,EmployeeContract,EmployeeAnnualSalary,EmployeeHourlyRate,EmployeeEmail
EMP-0001,Lapointe,Emma,F,1993-12-02,2023-05-01,Admin,Adjoint administratif,Permanent - Temps plein,52181,"25,09",emma.lapointe@patisseriect.ca
EMP-0002,Durand,Noël,H,2002-06-08,2024-07-31,Production,Chef Pâtissier,Permanent - Temps plein,77438,"37,23",noel.durand@patisseriect.ca
EMP-0003,Dubois,Chantal,F,1977-09-23,2024-04-17,Boutique,Commis aux ventes,Permanent - Temps plein,35537,"17,09",chantal.dubois@patisseriect.ca
EMP-0004,Dufresne,Aurore,F,2005-08-09,2024-03-21,Boutique,Gérant de boutique,Permanent - Temps plein,55521,"26,69",aurore.dufresne@patisseriect.ca
EMP-0005,Dion,Julie,F,1970-10-05,2017-02-01,Admin,Adjoint administratif,Permanent - Temps plein,50898,"24,47",julie.dion@patisseriect.ca
EMP-0006,Pilon,Robert,H,1996-02-27,2023-01-30,Production,Pâtissier,Permanent - Temps partiel,27155,"13,06",robert.pilon@patisseriect.ca
EMP-0007,Bertrand,Constance,F,1992-03-10,2025-09-05,Boutique,Commis aux ventes,Permanent - Temps plein,34704,"16,68",constance.bertrand@patisseriect.ca
EMP-0008,Nadeau,Stéphane,H,1976-08-29,2021-08-06,Boutique,Commis aux ventes,Permanent - Temps partiel,21907,"10,53",stephane.nadeau@patisseriect.ca
EMP-0009,Laflamme,Christine,F,1998-08-17,2022-10-22,Production,Pâtissier,Permanent - Temps plein,46209,"22,22",christine.laflamme@patisseriect.ca
EMP-0010,Jacques,Rosalie,F,1978-07-08,2020-08-24,Production,Boulanger-Viennoisier,Permanent - Temps plein,45793,"22,02",rosalie.jacques@patisseriect.ca
EMP-0011,Morissette,Thomas,H,1990-09-10,2019-05-18,Admin,Livreur,Permanent - Temps plein,34966,"16,81",thomas.morissette@patisseriect.ca
EMP-0012,Hébert,Guillaume,H,1999-11-30,2022-10-15,Admin,Livreur,Permanent - Temps plein,36334,"17,47",guillaume.hebert@patisseriect.ca
EMP-0013,Gélinas,Renée,F,1994-04-07,2019-03-08,Production,Aide-Pâtissier,Permanent - Temps plein,37734,"18,14",renee.gelinas@patisseriect.ca
EMP-0014,Côté,Samuel,H,1975-09-02,2019-07-21,Admin,Adjoint administratif,Temporaire,55730,"26,79",samuel.cote@patisseriect.ca
