OrderID,OrderDate,EmployeeID,ProductID,OrderQuantity,OrderType,ClientName,EventType
ORD-0001,2025-04-05,EMP-0008,PRD-0001,40,Livraison,Yves Richard,Corporate
ORD-0002,2025-02-13,EMP-0025,PRD-0001,5,À emporter,Xavier Tessier,Anniversaire
ORD-0003,2025-03-11,EMP-0032,PRD-0003,3,À emporter,Étienne Durand,Quotidien
ORD-0004,2025-01-22,EMP-0035,PRD-0006,5,Livraison,Benjamin-Gabriel Bergeron,Quotidien
ORD-0005,2025-10-20,EMP-0029,PRD-0002,2,À emporter,Charles Nguyen,Atelier
ORD-0006,2025-01-01,EMP-0035,PRD-0003,4,Livraison,Josette Sirois,Quotidien
ORD-0007,2025-03-06,EMP-0003,PRD-0003,4,À emporter,Marcel-Victor Forget,Quotidien
ORD-0008,2025-09-17,EMP-0008,PRD-0004,1,À emporter,Élisabeth Lessard,Quotidien
ORD-0009,2025-09-12,EMP-0008,PRD-0003,5,Livraison,Manon Charest,Quotidien
ORD-0010,2025-06-12,EMP-0008,PRD-0003,43,Sur place,David St-Jean,Corporate
ORD-0011,2025-11-27,EMP-0035,PRD-0003,6,Sur place,Catherine Trépanier,Quotidien
ORD-0012,2025-07-04,EMP-0034,PRD-0003,37,À emporter,Marianne-Anouk Fournier,Corporate
ORD-0013,2025-02-16,EMP-0032,PRD-0002,33,Sur place,Étienne Gélinas,Corporate
ORD-0014,2025-01-23,EMP-0008,PRD-0005,1,Sur place,Rémy Dupont,Quotidien
ORD-0015,2025-12-09,EMP-0008,PRD-0001,1,Livraison,Émilie Pépin,Quotidien
ORD-0016,2025-08-19,EMP-0003,PRD-0002,6,Sur place,Georges-Olivier Girard,Quotidien
ORD-0017,2025-01-10,EMP-0003,PRD-0005,1,Sur place,Élisabeth Létourneau-Beauregard,Quotidien
ORD-0018,2025-02-02,EMP-0035,PRD-0001,1,Sur place,Laurie St-Laurent,Quotidien
ORD-0019,2025-06-11,EMP-0007,PRD-0003,37,Livraison,Marianne Larivière,Corporate
ORD-0020,2025-02-02,EMP-0032,PRD-0001,3,Sur place,Marcelle Lemieux,Quotidien
ORD-0021,2025-03-04,EMP-0034,PRD-0004,3,Livraison,Jérôme Desbiens,Quotidien
ORD-0022,2025-04-21,EMP-0008,PRD-0006,8,À emporter,Thomas-Joseph Lafontaine,Atelier
ORD-0023,2025-04-03,EMP-0007,PRD-0006,6,Livraison,Charlotte Bertrand,Anniversaire
ORD-0024,2025-09-26,EMP-0034,PRD-0005,29,Sur place,Paul Archambault,Corporate
ORD-0025,2025-09-29,EMP-0034,PRD-0006,42,Sur place,Victor Lemieux,Corporate
ORD-0026,2025-08-11,EMP-0025,PRD-0001,27,Livraison,Océane Lemieux,Corporate
